filename,Code,Replicate,3a7a12k_taurine_14542,Di_taurine_19595,Tri_taurine_20369,3a12k_taurine_22309,Tri_glycine_25947,Di_glycine_27361,Di_taurine_29331,Di_taurine_30261,Di_glycine_34166,Di_glycine_34738,Mono_taurine_35357,Mono_glycine_38634
P1_G4_cluster149_A0A0G8G768,A0A0G8G768,rep1,86077960,17255.781,0,74080210,45230.85,4935194.5,23869902,1604.594,17387612,1687647.9,51389410,14139752
P1_G4_cluster149_A0A0G8G768_rep2,A0A0G8G768,rep2,293929.12,0,0,233310.95,0,74933.95,184014.98,0,65647.55,5609.996,304351.56,259479.02
P1_G4_cluster149_A0A0G8G768_rep3,A0A0G8G768,rep3,94315600,0,0,88709800,0,8972808,10761662,0,21893218,1996104,34208096,13266822
P1_G5_cluster206_A0A174MBD8,A0A174MBD8,rep1,86533680,13322.78,0,90089280,755208.06,6984632,8890750,0,17306868,602998.94,58206996,17624302
P1_G5_cluster206_A0A174MBD8_rep2,A0A174MBD8,rep2,101782300,6080.616,0,115941300,1148009,9711046,17841910,0,19451730,1664352,75472850,21090230
P1_G5_cluster206_A0A174MBD8_rep3,A0A174MBD8,rep3,99216910,0,0,101198390,105389.8,9959764,31555278,0,22388908,1874029.1,69515740,16584701
P1_G6_cluster256_A0A0M6WH75,A0A0M6WH75,rep1,91581736,4272.72,0,98064824,1035714.94,6661116,5608762,0,19199802,1534584.4,52786804,18204642
P1_G6_cluster256_A0A0M6WH75_rep2,A0A0M6WH75,rep2,107239940,20689.78,0,124068744,1382712,8580988,24122762,0,22738274,1738577.6,73860330,21683728
P1_G6_cluster256_A0A0M6WH75_rep3,A0A0M6WH75,rep3,107048240,0,0,107440370,82391.72,11906402,33017298,0,23555530,1858650.2,68666664,19623758
P1_G7_cluster285_A0A1C6E707,A0A1C6E707,rep1,84330776,13025.82,0,87457100,558568.5,9174553,24150666,0,19699072,1598468.9,55289510,17036788
P1_G7_cluster285_A0A1C6E707_rep2,A0A1C6E707,rep2,95489570,5924.482,0,105900000,426358.6,9011023,16448320,0,24972330,1688043,68156140,25136520
P1_G7_cluster285_A0A1C6E707_rep3,A0A1C6E707,rep3,98969576,0,0,98327650,176106.8,10692636,29981204,0,22059836,1661810.6,69573500,11127362
P1_G8_cluster383_A0A357TN00,A0A357TN00,rep1,78112820,0,0,83706264,386290.22,5009881,20449750,7382.835,10667177,1785292.9,50833988,13822156
P1_G8_cluster383_A0A357TN00_rep2,A0A357TN00,rep2,104769500,5590.941,0,124060300,988244.5,5120084,28985210,6792.834,16124510,2569855,78427340,14627690
P1_G8_cluster383_A0A357TN00_rep3,A0A357TN00,rep3,101645900,0,0,108619700,386884.9,7046001,38331580,1969.842,16968670,2563563,69725300,20096200
P1_G9_cluster417_A0A1Y3TDY5,A0A1Y3TDY5,rep1,72774450,0,0,66673780,0,4945340,6153827,0,18656286,1727873,23298874,18547186
P1_G9_cluster417_A0A1Y3TDY5_rep2,A0A1Y3TDY5,rep2,99419350,0,0,72451060,0,10113039,26005678,0,26542052,2537404,39430010,14767361
P1_G9_cluster417_A0A1Y3TDY5_rep3,A0A1Y3TDY5,rep3,108823080,0,0,108445816,0,12443601,35240070,0,30543126,1693644,39612960,24409804
P1_H1_cluster18_A6LC91,A6LC91,rep1,17650.84,0,0,30319.39,0,27292.23,43306.23,0,33893.66,0,52848.98,139094.1
P1_H1_cluster18_A6LC91_rep2_20250408113741,A6LC91,rep2,1119.5797,0,0,851.0245,0,4956.355,457.9021,0,7749.494,0,2165.505,48999.727
P1_H1_cluster18_A6LC91_rep3,A6LC91,rep3,16321.68,0,0,31488.84,0,25573.34,38045.95,0,26633.64,0,66306.86,89184.88
P1_H10_cluster525_A0A0S2W269,A0A0S2W269,rep1,93443704,14072.43,0,83495580,712448.56,5683523.5,18834610,0,18995718,747566,50147576,16275163
P1_H10_cluster525_A0A0S2W269_rep2,A0A0S2W269,rep2,25547.44,0,0,33673,0,20838.86,40996.66,0,29696.84,0,22358.75,144553.61
P1_H10_cluster525_A0A0S2W269_rep3,A0A0S2W269,rep3,208.76454,0,0,157.572,0,1062.1997,251.02208,0,361.72397,0,57.60728,72.15196
P1_H11_cluster581_A0A6I3NAM9,A0A6I3NAM9,rep1,119714240,19099.38,0,127601210,1376998.5,8273463.5,24514692,0,21658218,744650.44,56083080,19900730
P1_H11_cluster581_A0A6I3NAM9_rep2,A0A6I3NAM9,rep2,618.2484,0,0,646.5362,0,824.7591,214.1771,0,1221.3083,0,0,3994.621
P1_H11_cluster581_A0A6I3NAM9_rep3,A0A6I3NAM9,rep3,3174.883,0,0,7230.326,0,9767.196,10078.924,0,3790.326,0,11499.008,33342.656
P1_H12_cluster838_A0A3D3YKZ5,A0A3D3YKZ5,rep1,2379.665,0,0,3357.243,0,8923.811,4862.963,0,9093.737,0,5196.69,26160.434
P1_H12_cluster838_A0A3D3YKZ5_rep2,A0A3D3YKZ5,rep2,6493.539,0,0,14723.361,0,16097.342,19804.342,0,21834.422,0,51416.19,92290.48
