Enzyme,Amine,Hydroxyl
A0A0F0CI09,2_aminophenol,Tri
A0A0F0CI09,3_methoxytyramine,Di
A0A0F0CI09,3_methoxytyramine,Mono
A0A0F0CI09,3_methoxytyramine,Tri
A0A0F0CI09,alanine,Di
A0A0F0CI09,alanine,Mono
A0A0F0CI09,alanine,Tri
A0A0F0CI09,arginine,Di
A0A0F0CI09,arginine,Mono
A0A0F0CI09,arginine,Tri
A0A0F0CI09,asparagine,Di
A0A0F0CI09,asparagine,Mono
A0A0F0CI09,asparagine,Tri
A0A0F0CI09,cadaverine,Di
A0A0F0CI09,cadaverine,Mono
A0A0F0CI09,cadaverine,Tri
A0A0F0CI09,citrulline,Di
A0A0F0CI09,citrulline,Mono
A0A0F0CI09,citrulline,Tri
A0A0F0CI09,cystine,Di
A0A0F0CI09,cystine,Mono
A0A0F0CI09,cystine,Tri
A0A0F0CI09,dopamine,Di
A0A0F0CI09,dopamine,Mono
A0A0F0CI09,dopamine,Tri
A0A0F0CI09,gaba,Di
A0A0F0CI09,gaba,Mono
A0A0F0CI09,gaba,Tri
A0A0F0CI09,glutamine,Di
A0A0F0CI09,glutamine,Mono
A0A0F0CI09,glutamine,Tri
A0A0F0CI09,glyglycine,Di
A0A0F0CI09,glyglycine,Mono
A0A0F0CI09,glyglycine,Tri
A0A0F0CI09,histidine,Di
A0A0F0CI09,histidine,Mono
A0A0F0CI09,histidine,Tri
A0A0F0CI09,lysine,Di
A0A0F0CI09,lysine,Mono
A0A0F0CI09,lysine,Tri
A0A0F0CI09,methionine,Di
A0A0F0CI09,methionine,Mono
A0A0F0CI09,methionine,Tri
A0A0F0CI09,ornithine,Di
A0A0F0CI09,ornithine,Mono
A0A0F0CI09,ornithine,Tri
A0A0F0CI09,phenylalanine,Di
A0A0F0CI09,phenylalanine,Mono
A0A0F0CI09,phenylalanine,Tri
A0A0F0CI09,proline,Di
A0A0F0CI09,proline,Mono
A0A0F0CI09,proline,Tri
A0A0F0CI09,putrescine,Di
A0A0F0CI09,putrescine,Mono
A0A0F0CI09,putrescine,Tri
A0A0F0CI09,serine,Di
A0A0F0CI09,serine,Mono
A0A0F0CI09,serine,Tri
A0A0F0CI09,serotonin,Di
A0A0F0CI09,serotonin,Mono
A0A0F0CI09,serotonin,Tri
A0A0F0CI09,threonine,Di
A0A0F0CI09,threonine,Mono
A0A0F0CI09,threonine,Tri
A0A0F0CI09,tryptamine,Di
A0A0F0CI09,tryptamine,Mono
A0A0F0CI09,tryptamine,Tri
A0A0F0CI09,tyramine,Di
A0A0F0CI09,tyramine,Mono
A0A0F0CI09,tyramine,Tri
A0A0F5JPH2,"2,3_diaminopropionic acid",Di
A0A0F5JPH2,"2,3_diaminopropionic acid",Mono
A0A0F5JPH2,"2,3_diaminopropionic acid",Tri
A0A0F5JPH2,2_aminophenol,Di
A0A0F5JPH2,2_aminophenol,Mono
A0A0F5JPH2,2_aminophenol,Tri
A0A0F5JPH2,3_methoxytyramine,Di
A0A0F5JPH2,3_methoxytyramine,Mono
A0A0F5JPH2,3_methoxytyramine,Tri
A0A0F5JPH2,alanine,Di
A0A0F5JPH2,alanine,Mono
A0A0F5JPH2,alanine,Tri
A0A0F5JPH2,arginine,Di
A0A0F5JPH2,arginine,Mono
A0A0F5JPH2,arginine,Tri
A0A0F5JPH2,asparagine,Di
A0A0F5JPH2,asparagine,Mono
A0A0F5JPH2,asparagine,Tri
A0A0F5JPH2,cadaverine,Di
A0A0F5JPH2,cadaverine,Mono
A0A0F5JPH2,cadaverine,Tri
A0A0F5JPH2,citrulline,Di
A0A0F5JPH2,citrulline,Mono
A0A0F5JPH2,citrulline,Tri
A0A0F5JPH2,cystine,Di
A0A0F5JPH2,cystine,Mono
A0A0F5JPH2,cystine,Tri
A0A0F5JPH2,dopamine,Di
A0A0F5JPH2,dopamine,Mono
A0A0F5JPH2,dopamine,Tri
A0A0F5JPH2,gaba,Di
A0A0F5JPH2,gaba,Mono
A0A0F5JPH2,gaba,Tri
A0A0F5JPH2,glutamine,Di
A0A0F5JPH2,glutamine,Mono
A0A0F5JPH2,glutamine,Tri
A0A0F5JPH2,glyglycine,Di
A0A0F5JPH2,glyglycine,Mono
A0A0F5JPH2,glyglycine,Tri
A0A0F5JPH2,histidine,Di
A0A0F5JPH2,histidine,Mono
A0A0F5JPH2,histidine,Tri
A0A0F5JPH2,lysine,Di
A0A0F5JPH2,lysine,Mono
A0A0F5JPH2,lysine,Tri
A0A0F5JPH2,methionine,Di
A0A0F5JPH2,methionine,Mono
A0A0F5JPH2,methionine,Tri
A0A0F5JPH2,ornithine,Di
A0A0F5JPH2,ornithine,Mono
A0A0F5JPH2,ornithine,Tri
A0A0F5JPH2,phenylalanine,Di
A0A0F5JPH2,phenylalanine,Mono
A0A0F5JPH2,phenylalanine,Tri
A0A0F5JPH2,proline,Di
A0A0F5JPH2,proline,Mono
A0A0F5JPH2,proline,Tri
A0A0F5JPH2,putrescine,Di
